"Variable","Minimum","Q1","Median","Mittelwert","Q3","Maximum"
"Sleep.Score",22,61,66,65.3717105263158,72,92
"Total.Sleep.Score",8,61,68,67.8530701754386,78,100
"REM.Sleep.Score",1,30,39.4353070175439,39.4353070175439,49,100
"Deep.Sleep.Score",6,84,95,87.3245614035088,98,100
"Sleep.Efficiency.Score",15,67,72.6217105263158,72.6217105263158,81,100
"Restfulness.Score",29,49,53.7203947368421,53.7203947368421,56,89
"Sleep.Latency.Score",1,70,76.1524122807018,76.1524122807018,86,99
"Sleep.Timin.Score",1,35,59.7664473684211,59.7664473684211,88,100
"Total.Sleep.Duration",5460,22560,24240,24150.2634467618,26557.5,35160
"Total.Bedtime",11400,28245,30045.3787047201,30045.3787047201,32640,47340
"Awake.Time",930,4650,5895.11525795829,5895.11525795829,6660,16320
"REM.Sleep.Duration",0,2250,2948.46322722283,2948.46322722283,3630,10170
"Light.Sleep.Duration",4200,13200,14946.3885839737,14946.3885839737,16710,24690
"Deep.Sleep.Duration",390,5092.5,6255.41163556531,6255.41163556531,7380,11220
"Restless.Sleep",80,300,338.900109769484,338.900109769484,378,601
"Sleep.Efficiency",48,78,80.7266739846323,80.4533479692645,84,95
"Sleep.Latency",30,360,690,808.353457738749,990,7650
"Sleep.Timing",223,13650,14580,14117.3896816685,16170,25680
"Average.Resting.Heart.Rate",37.2,47.1275,49.845,50.5874862788145,51.6975,84.15
"Lowest.Resting.Heart.Rate",34,43,44,44.7694840834248,46,77
"Average.HRV",19,116.75,125,124.183315038419,137.25,207
"Temperature.Deviation...C.",-1.29,-0.15,-0.0269137168141593,-0.0269137168141593,0.08,3.06
"Temperature.Trend.Deviation",-0.58,0.02,0.126477146042363,0.126477146042363,0.2,2.4
"Respiratory.Rate",13.375,14.375,14.7261251372119,14.7261251372119,15,18
"Activity.Score",45,78,86,84.1859504132231,93,100
"Stay.Active.Score",37,71,79.5092975206612,79.5092975206612,89,100
"Move.Every.Hour.Score",60,95,100,97.2210743801653,100,100
"Meet.Daily.Targets.Score",1,43,78,66.5795454545455,95,100
"Training.Frequency.Score",1,71,100,84.3264462809917,100,100
"Training.Volume.Score",5,95,97,92.4927685950413,99,100
"Activity.Burn",0,345,521,530.492125984252,696.75,1665
"Total.Burn",1971,2531,2757.5,2754.26771653543,2968.75,3961
"Steps",0,6933,10016,10183.0059055118,13404.25,27407
"Equivalent.Walking.Distance",0,5960.25,9304.5,9430.96062992126,12494.5,26791
"Inactive.Time",60,25845,30840,29719.6062992126,34920,51420
"Rest.Time",0,25245,30000,28806.5551181102,33600,67680
"Low.Activity.Time",0,11625,15120,14999.8228346457,18480,39720
"Medium.Activity.Time",0,1440,2820,3177.22440944882,4560,11880
"High.Activity.Time",0,0,0,92.3031496062992,0,3120
"Non.wear.Time",0,1140,3960,9426.55511811024,9540,85980
"Average.MET",1.03125,1.375,1.5,1.49332554133858,1.59375,2.21875
"Long.Periods.of.Inactivity",0,0,0,0.37992125984252,1,3
"Readiness.Score",20,71,76,74.327850877193,82,94
"Previous.Night.Score",1,58,64,63.6677631578947,72,100
"Sleep.Balance.Score",5,59,66,65.9853768278965,76.25,100
"Previous.Day.Activity.Score",15,83,86.3863636363636,86.3863636363636,92,100
"Activity.Balance.Score",48,79,83.8639053254438,83.8639053254438,90,100
"Temperature.Score",1,93.8535242290749,98,93.8535242290749,100,100
"Resting.Heart.Rate.Score",1,77.75,88,81.5444566410538,99,100
"HRV.Balance.Score",1,72,81,74.678369195923,88,100
"Recovery.Index.Score",1,68,87,79.5021929824561,100,100
"date_numeric",0,331.75,599.5,665.119094488189,1084.25,1342
"is_weekend",0,0,0,0.284448818897638,1,1
"moon_phase_numeric",1,2,3,2.50492125984252,3.25,4
"tavg",-7.9,5.1,10.2,10.7625984251969,16.9,28.2
"tmin",-11.3,1.2,6.3,6.4636811023622,12.2,20.1
"tmax",-5.6,9,15.15,15.4561023622047,22.7,36.8
"prcp",0,0,0.1,2.93759842519685,3.2,66.9
"snow",0,0,0,5.01980198019802,0,420
"wdir",1,116.5,234,200.462598425197,260,359
"wspd",4,6.8,8.6,9.92372047244094,11.5,34.6
"wpgt",11.9,24.5,32.8,36.0903543307087,44.3,94
"pres",986,1011.1,1016.7,1016.79498031496,1021.9,1042.2
"tsun",0,66,294,332.987204724409,558,936
